Time,T,A2C2HB*,C2H3O,N-A1C2H2,NAPHTHYNE,C6H5OH,OH,CH2*,C5H3,C2H3,N-C6H5,C-C6H4,C5H5O,CH3,C2H5,H2C4O,A4-,C2H6,A2C2H2,CO2,C5H2,A1C2H3*,HCO,C4H4,A3C2H2,C4H,A3-1,A3C2H,H2,A2C2HA*,A1C2H)2,L-C6H6,A1C2H-,A1-,N-C6H7,C-C6H7,A1C2H3,N-C4H3,P2,C6H8,CH2O,A3,C4H6,C3H2,CH2,P2-H,C3H3,H2O,P2-,I-C6H5,A3-4,AR,I-C6H7,I-A1C2H2,C6H2,A2R5,N2,C2H,A2C2HA,CH2CO,C4H612,C2H4,A4,C5H4OH,CH2OH,C2H2,H2O2,HCCOH,A2,O2,A2-2,HCCO,A1C2H,AC3H4,A1C2H*,A2C2H)2,C4H2,A2-1,PC3H4,L-C6H4,C6H5O,C,CH4,C5H5,HO2,C2O,CH3OH,M0,I-C4H5,C5H6,CO,CH3O,O,A1,thermalConductivity,C6H3,mu,I-C4H3,H,N-C4H5,C6H,A2R5-,C5H4O,CH,A2C2HB,U:0,U:1,U:2,Vorticity:0,AngularVelocity,Normals:0,Normals:1,Normals:2,Points:0,Points:1,Points:2,,p,wdotA4,rho
0,313.822,1.40374e-15,8.73424e-10,3.06902e-15,2.16176e-08,2.24285e-08,1.83679e-13,1.42091e-21,7.7279e-11,3.50482e-11,3.27624e-14,4.23054e-07,8.49823e-08,2.60895e-11,1.40285e-07,3.00811e-07,2.04976e-14,3.66516e-06,6.21091e-21,0.00114387,1.72122e-11,4.40311e-14,3.83434e-11,5.63184e-05,1.67208e-17,1.11464e-23,6.93788e-15,3.28607e-10,6.50179e-05,1.8419e-15,4.0543e-09,1.13019e-06,3.50963e-13,4.85789e-15,1.15609e-14,5.39206e-11,9.80701e-07,8.30413e-13,5.59574e-09,7.55549e-07,1.1073e-07,5.78317e-08,4.58134e-05,9.56924e-15,2.74571e-16,1.97709e-16,2.20348e-08,0.00085327,8.92492e-16,1.7291e-13,9.15113e-15,4.54021e-43,1.07276e-13,3.86651e-12,1.85323e-06,3.05127e-07,0.203693,1.50376e-18,2.36346e-08,2.9956e-06,6.30915e-08,0.45762,8.33274e-08,1.8836e-08,2.47702e-16,0.000421089,6.51903e-10,3.71772e-08,4.47373e-07,6.5103e-07,9.4817e-14,3.81127e-10,1.80599e-06,2.25637e-07,1.57287e-13,3.36269e-17,4.53207e-05,1.44412e-14,1.86096e-08,7.35451e-07,2.91698e-11,1.1458e-25,1.95239e-05,1.38038e-08,4.52725e-09,3.0447e-13,3.22188e-09,6.64891e+09,4.27842e-11,2.76959e-07,0.000903034,4.30428e-12,1.4786e-16,7.83612e-06,0.0241341,8.07539e-13,1.24602e-05,9.62736e-10,8.0196e-16,1.63566e-10,2.41533e-23,1.25507e-13,1.99024e-09,2.40023e-24,2.48327e-08,0.000117075,0,0.0532049,0,0,0,1,0,0.0001,0,0,,100001,0,1.08214
0.00732802,335.243,8.64116e-15,7.56925e-09,5.42023e-13,5.20365e-08,6.39778e-08,7.83752e-12,1.63118e-18,6.95158e-09,8.68461e-10,2.13202e-13,1.01667e-06,1.78668e-07,5.11761e-09,7.49296e-07,8.13125e-07,5.62976e-14,8.67892e-06,8.88401e-20,0.00289677,4.56975e-09,5.68348e-13,8.62064e-10,0.000137233,7.20865e-17,1.97961e-21,4.11698e-14,7.97402e-10,0.000162859,9.76138e-15,1.03173e-08,2.74506e-06,6.12327e-12,2.61588e-13,7.48846e-14,6.88899e-11,2.36831e-06,2.09077e-11,1.3439e-08,1.86251e-06,5.45774e-07,1.39326e-07,0.000113841,7.75938e-13,3.44008e-14,1.11095e-15,2.04767e-07,0.00215511,6.08849e-15,3.99563e-11,4.63068e-14,7.70714e-43,2.91768e-11,8.28952e-11,4.62997e-06,7.36451e-07,0.310688,8.94231e-17,5.72888e-08,8.7028e-06,3.33063e-07,0.680288,8.16932e-08,2.56343e-08,6.18249e-14,0.00105212,4.41473e-09,1.04825e-07,1.08193e-06,3.97049e-06,1.21857e-12,2.4087e-08,4.36672e-06,6.73517e-07,8.08527e-13,1.90846e-16,0.000112296,2.20229e-13,5.96604e-08,1.75471e-06,1.78056e-10,1.96698e-19,4.90166e-05,5.76265e-08,5.2976e-08,4.06386e-12,2.19769e-08,3.80193e+16,6.19608e-09,6.59734e-07,0.00227837,8.24657e-10,1.02668e-14,1.92349e-05,0.0266143,8.93477e-11,1.33011e-05,9.46203e-08,9.52842e-15,1.07564e-09,3.47567e-21,1.07132e-11,5.42461e-09,1.95907e-22,6.07859e-08,0.000588725,0,0.0573187,0,0,0,1,-0,0.000102482,0,0.000389878,,100001,0,1.01729
0.0141344,369.432,2.80347e-14,2.88922e-08,1.66324e-12,9.63024e-08,1.41179e-07,2.81896e-11,8.6011e-18,1.75606e-08,2.79223e-09,6.19387e-13,1.89438e-06,3.36294e-07,1.33709e-08,2.23303e-06,1.72359e-06,1.01184e-13,1.63823e-05,2.82808e-19,0.00572901,1.22187e-08,1.88072e-12,2.74334e-09,0.000261449,2.13264e-16,8.88096e-20,1.28111e-13,1.47218e-09,0.00031982,3.10968e-14,1.99466e-08,5.21839e-06,1.94113e-11,1.17747e-12,2.50671e-13,8.64113e-11,4.43977e-06,6.42627e-11,2.4763e-08,3.63572e-06,1.66947e-06,2.56502e-07,0.000224188,2.40532e-12,1.3311e-13,2.95705e-15,5.99923e-07,0.00425352,1.85006e-14,1.06574e-10,1.41664e-13,1.12524e-42,7.95035e-11,2.63824e-10,8.98223e-06,1.36194e-06,0.321131,3.99503e-16,1.06522e-07,2.00677e-05,1.04046e-06,0.661068,5.21441e-08,3.06605e-08,1.35532e-13,0.00205851,1.64705e-08,2.2615e-07,2.01248e-06,1.21915e-05,3.58763e-12,7.91786e-08,8.14731e-06,1.61483e-06,2.59323e-12,4.20368e-16,0.000216503,7.10935e-13,1.51182e-07,3.24822e-06,5.34334e-10,1.89281e-19,9.6382e-05,1.12802e-07,2.03655e-07,1.15402e-11,7.75557e-08,7.92316e+16,1.72485e-08,1.20677e-06,0.00450373,3.17223e-09,5.15561e-14,3.68139e-05,0.0305977,2.57731e-10,1.46302e-05,2.54267e-07,5.82924e-14,3.41364e-09,8.01268e-20,3.13789e-11,1.13909e-08,1.3268e-21,1.14063e-07,0.000985946,0,0.0636374,0,0,0,1,-0,0.000107648,0,0.00078,,100001,0,0.92152
0.0202689,418.081,5.8713e-14,8.00477e-08,3.3375e-12,1.51431e-07,2.75543e-07,5.77379e-11,2.62468e-17,2.50299e-08,4.51659e-09,1.16185e-12,3.04509e-06,6.09222e-07,1.95855e-08,5.31522e-06,3.25057e-06,1.25137e-13,2.76644e-05,5.48218e-19,0.00997829,1.85757e-08,3.98325e-12,4.84336e-09,0.000436703,4.94345e-16,5.23911e-19,2.78041e-13,2.2712e-09,0.000555888,6.71866e-14,3.281e-08,8.70433e-06,4.01695e-11,3.85297e-12,4.83753e-13,1.289e-10,7.18582e-06,1.22423e-10,3.86001e-08,6.35096e-06,4.23209e-06,3.96383e-07,0.000395568,4.36048e-12,2.86048e-13,4.71752e-15,1.2718e-06,0.00739966,3.91509e-14,1.69268e-10,3.14681e-13,1.56525e-42,1.28898e-10,5.70459e-10,1.51806e-05,2.12459e-06,0.336856,1.15827e-15,1.67661e-07,4.20037e-05,2.64715e-06,0.632153,4.69118e-08,3.74843e-08,2.00055e-13,0.00355634,5.04832e-08,4.28685e-07,3.18194e-06,2.94581e-05,6.82295e-12,1.34503e-07,1.30168e-05,3.5597e-06,5.80109e-12,6.38338e-16,0.000364356,1.40995e-12,3.49726e-07,5.1816e-06,1.24596e-09,7.93571e-20,0.000167421,1.34978e-07,6.06953e-07,1.75406e-11,2.17567e-07,7.96138e+16,2.98483e-08,1.86473e-06,0.00788204,6.60204e-09,1.49552e-13,6.15018e-05,0.0363868,4.4527e-10,1.64688e-05,4.31755e-07,2.32475e-13,5.67013e-09,4.49033e-19,5.58162e-11,2.08456e-08,4.5692e-21,1.8124e-07,0.00102093,0,0.0643855,0,0,0,1,0,0.000113993,0,0.00117038,,100001,0,0.818502
0.0263363,480.452,7.78271e-14,1.52207e-07,5.06434e-12,2.12613e-07,4.62755e-07,7.61616e-11,4.58455e-17,2.785e-08,4.74435e-09,1.4456e-12,4.4172e-06,9.64752e-07,2.13843e-08,9.73046e-06,5.34714e-06,1.19592e-13,4.26773e-05,7.84547e-19,0.0155416,2.10056e-08,5.62528e-12,5.68792e-09,0.000660024,7.50135e-16,2.43887e-18,4.02229e-13,3.08709e-09,0.000870139,9.2858e-14,4.79648e-08,1.31518e-05,5.84747e-11,7.47157e-12,5.82399e-13,1.55631e-10,1.04479e-05,1.70536e-10,5.35904e-08,1.00661e-05,8.26239e-06,5.41105e-07,0.000630721,5.5161e-12,3.86507e-13,5.00991e-15,2.12993e-06,0.0115324,5.71765e-14,2.02467e-10,4.68607e-13,1.96462e-42,1.5461e-10,9.21576e-10,2.29609e-05,2.93423e-06,0.357581,1.8999e-15,2.34082e-07,7.50632e-05,5.12052e-06,0.59403,3.14766e-08,3.92083e-08,3.24393e-13,0.00553207,1.14216e-07,7.07511e-07,4.4773e-06,5.48455e-05,9.29526e-12,1.52573e-07,1.86391e-05,6.62907e-06,8.35212e-12,8.55141e-16,0.000550963,1.90623e-12,6.70989e-07,7.46338e-06,2.24667e-09,1.72115e-19,0.000261133,1.24245e-07,1.31144e-06,1.82122e-11,4.43296e-07,6.62278e+16,3.97984e-08,2.5658e-06,0.0123951,8.38144e-09,2.38336e-13,9.24067e-05,0.0438339,5.72102e-10,1.87785e-05,6.02765e-07,5.46585e-13,5.77377e-09,1.46635e-18,7.27274e-11,3.30819e-08,7.39672e-21,2.54415e-07,0.000673794,0,0.0677164,0,0,0,1,0,0.000119287,0,0.00156104,,100001,0,0.712755
0.0321097,552.705,6.29039e-14,2.10814e-07,6.79695e-12,2.74548e-07,6.78274e-07,7.16165e-11,7.27902e-17,3.01378e-08,3.68532e-09,1.10651e-12,5.9497e-06,1.32685e-06,2.10488e-08,1.43558e-05,7.74631e-06,8.818e-14,6.13008e-05,1.07659e-18,0.022003,2.15142e-08,5.28345e-12,4.73509e-09,0.000922758,6.52962e-16,8.79576e-18,3.69838e-13,3.80093e-09,0.0012477,7.78589e-14,6.3895e-08,1.84077e-05,6.07102e-11,1.18287e-11,4.35713e-13,1.33235e-10,1.39985e-05,1.99906e-10,6.82851e-08,1.47085e-05,1.31406e-05,6.70821e-07,0.000921951,5.53258e-12,3.82746e-13,3.38369e-15,3.01979e-06,0.0163722,5.52201e-14,2.14153e-10,4.41183e-13,2.32335e-42,1.61861e-10,1.15905e-09,3.17156e-05,3.68517e-06,0.381912,2.24667e-15,2.97749e-07,0.000116062,7.98636e-06,0.549192,1.85933e-08,3.87262e-08,6.52555e-13,0.00788717,2.04618e-07,1.03138e-06,5.76018e-06,8.32254e-05,8.87998e-12,1.27151e-07,2.45971e-05,1.0587e-05,7.27768e-12,1.0571e-15,0.000764503,1.88372e-12,1.08174e-06,9.99741e-06,3.29223e-09,4.93258e-19,0.000371598,1.05844e-07,2.23004e-06,1.45518e-11,7.0846e-07,5.35926e+16,4.88269e-08,3.24146e-06,0.0178022,6.66375e-09,2.52053e-13,0.000127496,0.0522321,6.1813e-10,2.13981e-05,8.30997e-07,1.17489e-12,3.81254e-09,4.18039e-18,6.98382e-11,4.61649e-08,9.17231e-21,3.23001e-07,1.1819e-05,0,0.0763355,0,0,0,1,0,0.000121349,0,0.00195201,,100001,0,0.612294
0.0372351,629.169,3.1856e-14,2.31474e-07,9.80313e-12,3.32495e-07,8.9498e-07,6.0332e-11,1.85633e-16,3.87928e-08,2.86216e-09,5.12695e-13,7.56491e-06,1.62483e-06,2.3777e-08,1.82819e-05,1.01519e-05,4.68272e-14,8.26644e-05,2.66401e-18,0.0288263,2.48563e-08,3.72307e-12,3.20086e-09,0.00121014,2.97148e-16,3.94983e-17,2.25755e-13,4.32205e-09,0.00166435,4.00942e-14,7.93545e-08,2.41898e-05,5.17579e-11,2.07721e-11,2.07238e-13,6.67225e-11,1.75776e-05,2.88441e-10,8.1417e-08,2.00378e-05,1.80806e-05,7.69494e-07,0.00125136,5.73845e-12,3.99472e-13,1.35409e-15,3.91679e-06,0.0215442,3.73217e-14,2.34103e-10,2.7048e-13,2.5854e-42,1.7519e-10,1.23977e-09,4.07679e-05,4.28851e-06,0.407961,2.58176e-15,3.51896e-07,0.000160238,1.07149e-05,0.501062,9.60794e-09,3.55901e-08,1.99281e-12,0.0104691,3.05368e-07,1.36607e-06,6.90799e-06,0.000109753,6.33383e-12,8.94904e-08,3.04703e-05,1.4963e-05,3.88483e-12,1.20408e-15,0.000990396,1.7681e-12,1.51683e-06,1.26558e-05,4.18269e-09,4.00712e-18,0.000489968,1.07312e-07,3.13127e-06,1.12153e-11,9.56946e-07,4.20816e+16,6.26987e-08,3.83082e-06,0.0237324,3.55942e-09,2.57713e-13,0.00016416,0.0607245,6.77703e-10,2.40952e-05,1.22284e-06,4.41182e-12,1.80941e-09,1.2949e-17,5.23439e-11,5.82928e-08,2.8172e-20,3.7807e-07,-0.000791174,0,0.0900526,0,0,0,1,0,0.000119583,0,0.00234325,,100001,0,0.532524
0.0415827,705.872,1.43508e-14,2.0984e-07,1.59549e-11,3.86572e-07,1.08777e-06,6.11778e-11,5.10501e-16,5.81971e-08,3.40308e-09,2.39714e-13,9.23452e-06,1.82823e-06,3.30165e-08,2.10078e-05,1.23175e-05,1.89299e-14,0.000105602,7.83377e-18,0.0355299,3.34822e-08,2.79806e-12,2.10901e-09,0.00150886,8.16757e-17,1.32842e-16,1.22968e-13,4.66712e-09,0.00209405,1.76668e-14,9.39759e-08,3.02338e-05,4.79073e-11,4.07847e-11,9.55784e-14,2.10011e-11,2.10717e-05,5.61141e-10,9.30768e-08,2.57075e-05,2.22474e-05,8.38958e-07,0.00159558,7.60654e-12,5.89639e-13,4.07179e-16,4.84659e-06,0.0266995,2.30942e-14,2.72198e-10,1.40631e-13,2.75215e-42,2.03718e-10,1.2327e-09,4.96664e-05,4.74517e-06,0.433939,3.52613e-15,3.96377e-07,0.000201882,1.28211e-05,0.452906,4.52245e-09,3.09531e-08,5.69461e-12,0.0131227,3.89029e-07,1.67978e-06,7.9109e-06,0.000130362,4.25008e-12,6.37435e-08,3.61654e-05,1.91129e-05,1.78948e-12,1.28644e-15,0.00121801,2.28073e-12,1.89138e-06,1.53996e-05,4.78264e-09,1.40413e-17,0.000607468,1.466e-07,3.67701e-06,1.1455e-11,1.13936e-06,3.2879e+16,8.38492e-08,4.34278e-06,0.0297931,1.61538e-09,3.62891e-13,0.000200501,0.0687472,8.50724e-10,2.67341e-05,1.83355e-06,1.50452e-11,9.57552e-10,3.52984e-17,3.4448e-11,6.82641e-08,1.11758e-19,4.18363e-07,-0.00154513,0,0.109081,0,0,0,1,0,0.000114962,0,0.00273475,,100001,0,0.470238
0.0451742,779.978,1.30985e-14,1.61239e-07,3.13655e-11,4.37796e-07,1.24478e-06,8.28155e-11,2.44459e-15,9.21332e-08,7.39566e-09,2.7424e-13,1.09314e-05,1.92938e-06,5.52834e-08,2.25092e-05,1.41306e-05,6.34241e-15,0.000128759,4.15679e-17,0.0418019,4.8458e-08,3.69286e-12,1.49477e-09,0.00180724,3.84408e-17,8.66992e-16,1.08762e-13,4.88134e-09,0.00251595,1.5496e-14,1.07655e-07,3.62981e-05,5.48572e-11,9.34973e-11,1.07107e-13,1.18007e-11,2.44207e-05,1.41668e-09,1.03611e-07,3.13931e-05,2.52678e-05,8.86131e-07,0.00193481,1.84942e-11,1.43455e-12,2.39296e-16,5.84364e-06,0.0315992,2.19517e-14,3.43108e-10,1.1111e-13,2.84043e-42,2.6671e-10,1.28242e-09,5.81524e-05,5.08499e-06,0.458616,1.05677e-14,4.33182e-07,0.000237506,1.41428e-05,0.407006,2.08853e-09,2.56894e-08,1.54298e-11,0.0157252,4.37797e-07,1.95526e-06,8.79476e-06,0.000143901,4.09619e-12,4.90909e-08,4.166e-05,2.26249e-05,1.74902e-12,1.51785e-15,0.00144001,5.90751e-12,2.15786e-06,1.81908e-05,5.07854e-09,1.14916e-16,0.000717965,2.33101e-07,3.73473e-06,1.78896e-11,1.24276e-06,2.59469e+16,1.13797e-07,4.79978e-06,0.0356833,8.21981e-10,8.47986e-13,0.000235211,0.0760495,1.31486e-09,2.92297e-05,2.67654e-06,9.5868e-11,1.15695e-09,1.31011e-16,2.41667e-11,7.57858e-08,2.13868e-18,4.45942e-07,-0.00214468,0,0.133389,0,0,0,1,0,0.000108954,0,0.00312651,,100001,0,0.421952
0.0481132,850.377,2.36674e-14,1.06567e-07,6.60088e-11,4.87487e-07,1.36264e-06,1.33311e-10,7.97775e-15,1.48327e-07,1.82322e-08,4.76671e-13,1.26441e-05,1.91209e-06,1.01199e-07,2.2859e-05,1.55527e-05,2.32484e-15,0.000150898,1.44901e-16,0.0474932,7.22672e-08,7.4445e-12,1.2494e-09,0.00209849,4.8211e-17,3.18942e-15,1.79811e-13,5.00946e-09,0.00291798,2.7956e-14,1.20398e-07,4.22388e-05,7.28472e-11,2.15075e-10,2.03737e-13,1.54269e-11,2.76147e-05,3.51256e-09,1.13415e-07,3.68872e-05,2.70564e-05,9.18284e-07,0.00225707,5.06009e-11,3.60904e-12,2.47915e-16,6.97195e-06,0.036122,3.72459e-14,4.7293e-10,1.72874e-13,2.86566e-42,3.96813e-10,1.56686e-09,6.61327e-05,5.3428e-06,0.481363,3.26693e-14,4.64792e-07,0.000265389,1.46851e-05,0.364541,1.04252e-09,2.02991e-08,3.67055e-11,0.0182066,4.43343e-07,2.18517e-06,9.59705e-06,0.00015064,6.63622e-12,4.00089e-08,4.69866e-05,2.53033e-05,3.50147e-12,2.23691e-15,0.00165301,1.65318e-11,2.29571e-06,2.10173e-05,5.10344e-09,3.73352e-16,0.000818337,3.85507e-07,3.30881e-06,3.46223e-11,1.2712e-06,2.08305e+16,1.56202e-07,5.22595e-06,0.0412333,4.78729e-10,2.09989e-12,0.000267626,0.082638,2.35034e-09,3.1558e-05,3.80482e-06,3.53054e-10,2.19482e-09,3.95485e-16,2.47804e-11,8.10064e-08,8.71232e-18,4.6366e-07,-0.00256308,0,0.162463,0,0,0,1,0,0.000102683,0,0.00351855,,100001,0,0.384293
